id	name	ISBN	year	type
10000087	Weisse Pelerinen	unknown	1943	Edition
10000088	Kameraden; chromik einer jugend	unknown	1943	Edition
10000089	La course au ruban bleu, cent ans de lutte dans l'Atlantique 1838-1939	unknown	1945	Edition
10000090	De blijde boodschap, een levensweg naar het geluk	unknown1944	Edition
10000091	Ma genèse	unknown	1942	Edition
10000092	Le débat de ratification du traité de Versailles à la Chambre des députés et dans la presse en 1919	unknown	1945	Edition
10000093	Salaires et pouvoir d'achat des ouvriers et des fonctionnaires entre les deux guerres	unknown	1940	Edition
10000094	Petite grammaire de l'ancien français	unknown	1941›1963	Edition
10000095	De Belastingwet op de uitzonderlijke winsten	unknown	1942	Edition
10000096	Harkort, Bahnbrecher der Industrie	unknown		Edition
10000097	Sens chrétien de l'homme	unknown	1945	Edition
10000098	Der eucharistische und der mystische leib Christi in ihren beziehungen zueinander, nach der lehre der frühscholastik	unknown	1941	Edition
10000099	La tua battaglia	unknown		Edition
10000100	La mystique d'Angelus Silesius	unknown	1943	Edition
10000101	Il buon pastore	unknown	1942	Edition
10000102	Ons gezinsleven, een boek voor geestelijke leiding	unknown1941	Edition
10000103	Mensen vragen naar God	unknown	1941	Edition
10000104	De tinnen soldaten	unknown	1943	Edition
10000105	Der Ruf des Lebens	unknown	1943	Edition
10000106	Der herzog und die könige, ein roman um Widukind, Karl und Göttrik	unknown	1942	Edition
10000107	Anthologie du théâtre français contemporain	unknown	1945	Edition
10000108	Le lais, le testament et les ballades	unknown	1944	Edition
10000109	La libération de Paris	unknown	1945	Edition
10000110	Carnet des jours d'attente	unknown	1945	Edition
10000111	In en om de Bergensche school	unknown	1945	Edition
10000112	Il Regio museo artistico industriale di Roma	unknown	1942	Edition
10000113	In en buiten het tij; nagelaten beschouwingen en herdenkingen	unknown	1940	Edition
10000114	Scritti attuali	unknown	1945	Edition
10000115	Else von der Tanne; oder, Das glück domini Friedemann Leutenbachers, armen dieners am wort Gottes zu Wallrode im Elend	unknown	1943	Edition
10000116	Versieringen bij blijde inkomsten gebruikt in de zuidelijke Nederlanden gedurende de 16e̳ en 17e̳ eeuw	unknown	1943	Edition
10000117	Die brennende Grenze	unknown	1943	Edition
10000118	Im zauberwald; roman	unknown	1943	Edition
10000119	Agricola›Vie d'Agricola	unknown	1942	Edition
10000120	Terze pagine stravaganti	unknown	1942	Edition
10000121	Comment utiliser plus rationnellement et économiquement les combustibles dans leurs usages industriels et domestiques (millions de tonnes et milliards perdus)	unknown	1941	Edition
10000122	Un grave problème de mœurs publiques	unknown	1942	Edition
10000123	Europäische lebesfragen im lichte der gegenwart	unknown	1943	Edition
10000124	Het Wilhelmus van Nassouwe, de geschiedenis van een volkslied	unknown	1941	Edition
10000125	Traités et sermons	unknown	1942	Edition
10000126	"Chamisso en zijn ""Peter Schlemiel,"" een eenig wonderbare geschiedenis, een mystificeerende brief en twee typische gedichten, uit het duitsch vertaald en van een onmisbare inleiding voorzien"	unknown	1942	Edition
10000127	Sénescence et évolution. Cycle du bacille tuberculeux	unknown1945	Edition
10000128	Atomistiek zonder atoommodel	unknown	1942	Edition
10000129	Auf bergwild in den Rocky mountains	unknown	1941	Edition
10000130	La vie des fourmis. 38 bois originaux de Paul Baudier	unknown1942	Edition
10000131	Der eiserne seehund; Wilhelm Bauer, der erfinder des U-boots; tat, schicksal und abenteuer	unknown	1943	Edition
10000132	Glossaire du patois de Brotte-lez-Luxeuil	unknown	1939	Edition
10000133	Kärnten, heimatland, ahnenland; ein buch für die jugend	unknown1943	Edition
10000134	André Gide et son Journal	unknown	1942	Edition
10000135	Relation entre osmose et imbibition étudiée sur des tissus végétaux	unknown	1940	Edition
10000136	Ondergang van de republiek der Vereenigde Nederlanden	unknown1943	Edition
10000137	Een eeuw Nederlandsche mode	unknown	1941	Edition
10000138	Karel van de Woestijne; zijn leven en werken	unknown	1942	Edition
10000139	Handboek der bedrijfseconomische statistiek	unknown	1943	Edition
10000140	Ins volle menschenleben, neue erzählungen	unknown	1942	Edition
10000141	Kräfte und Mächte, Grundsätze, Lehren, Gedanken	unknown	1942	Edition
10000142	Oude gentsche typen en andere zantingen	unknown	1944	Edition
10000143	Il convento di padre Macario ... Con dieci tavole fuori testo	unknown	1943	Edition
10000144	Betriebswirtschaftslehre, Wirtschaftslehre der gewerblichen Unternehmungen	unknown	1943	Edition
10000145	Insel im seewind, schicksale vor deich und düne	unknown	1943	Edition
10000146	Wirtschaft und betrieb, vorträge und beiträge zur neuordnung der deutschen volks- und betriebswirtschaft	unknown	1943	Edition
10000147	Der kamerad	unknown	1943›1940	Edition
10000148	La métaphysique de Paul Decoster	unknown	1945	Edition
10000149	Balà, roman aus dem litauischen	unknown	1943	Edition
10000150	Kommissionens historie, 1878-1943	unknown	1943	Edition
10000151	Bucolica›Bucoliques. Texte établi et traduit	unknown	1942	Edition
10000152	Everybodys dog book; fostering, upbringing and beginning stages of training for house dogs›Jedermanns hundebuch; pflege, erziehung und dressur des haushundes	unknown	1942	Edition
10000153	Étude du coefficient polytropique de détente dans un moteur à explosion	unknown	1941	Edition
10000154	De praktische zin van de eenvoud Gods	unknown	1945	Edition
10000155	Wegen tot God en wegen van God	unknown	1941	Edition
10000156	Contes d'entre-ciel-et-terre	unknown	1945	Edition
10000157	L'invalide fou	unknown	1945	Edition
10000158	Ingénieurs et techniciens dans le monde	unknown	1946	Edition
10000159	Notions de psychologie	unknown	1944	Edition
10000160	Le charme et la raison	unknown	1945	Edition
10000161	Cours de mécanique rationnelle	unknown	1944	Edition
