id	name	type
19270531	Fede ne' tradimenti›La fede ne' tradimenti : dramma per mvsica dedicato all'Illustriss. & Eccellentiss. prencipe D. Domenico Rospigliosi : fatto cantare da' SS. Conuittori del nobil Collegio Tolomei di Siena per il carneuale di quest'anno	Edition
19270538	Il tiranno di colco : drama musicale rappresentato nella Villa di Pratolino	Edition
12498501	Vita del cavaliere Gio. Lorenzo Bernino, scvltore, architetto, e pittore	Edition
11100433	Trattati varj fatti in diverse occasioni	Edition
27543856	Appresso Giogrio Marescotti ...	Publisher
27543857	Apresso Giorgio Marescotti	Publisher
30689696	Scipione Ammirato	Person
10767065	Teatro del mondo e sve parti cio é Evropa, Affrica, Asia, et America : nel quale, oltre alle tauole in disegno, si discorre delle sue prouincie, regni, regioni, città, castelli, ville, monti, fiumi, laghi, mari, porti, golfi, isole, populationi, leggi, riti, e costumi	Edition
13650822	Delle indulgenze e delle disposizioni per conseguirle. Alla nobile, e pia città di Livorno	Edition
23874492	Appresso Abondio Menafoglio	Publisher
17059500	Decamerone›Il Decameron di messer Giovanni Boccacci, cittadin fiorentino	Edition
13651754	Massime esempi e trattati pubblici in Tucidide	Edition
28271360	Per Niccolò Pagni e Giuseppe Bardi	Publisher
25038319	Nella stamp. di Zanobi Pignoni	Publisher
23352440	Per il Reghettini	Publisher
17585427	De historia Romana›Libro della historia de romani	Edition
17585444	Sonetti morali	Edition
17585767	Discorsi del signor Filippo Cauriana, cau. di S. Stefano, sopra i primi cinque libri di Cornelio Tacito : con vna tauola copiosissima delle materie più notabili›Discorsi del signor Filippo Cavriana, cav. di S. Stefano, sopra i primi cinqve libri di Cornelio Tacito	Edition
17585769	Discorsi del signor Scipione Ammirato sopra Cornelio Tacito : nuouamente posti in luce : con due tauole, vna de'discorsi e luoghi di Cornelio sopra i quali son fondati, l'altra delle cose più notabili	Edition
17585772	De beneficiis›De'benefizii	Edition
23290861	Stamperia di G. Albizzini	Publisher
16431481	Bando e provvisione rinnovata sopra il modo di tenere castroni et altre bestie pecorine da macello ne' piani sotto a Firenze›Bando e prouisione rinouata sopra il modo di tenere castroni et altre bestie pecorine da macello ne piani di sotto à Firenze : pubblicato il dì 27 d'ottobre 1629›Bando e provisione rinovata sopra il modo di tenere castroni et altre bestie pecorine da macello ne piani di sotto à Firenze	Edition
16431486	Bando contro li lauoratori di terre, fattori, & altre persone simili che contro la voluntà de padroni de terreni venderanno li grani e biade che li saranno date per seminarsi contro li compratori : publicato il dì 24 di nouembre 1595›Bando contro li lavoratori di terre, fattori, et altre persone simili che contro la voluntà de padroni de terreni venderanno li grani e biade che li saranno date per seminarsi contro li compratori	Edition
30630982	Vincenzio Buonanni	Person
21256966	G. Cambiagi stampator granducale	Publisher
29383735	Per Anton-Giuseppe Pagani e Comp.	Publisher
29383736	Nella Stamperia del Costantini	Publisher
30694873	Evangelista Torricelli	Person
30957244	Ugolino Martelli	Person
30433139	Giuseppe Richa	Person
35413881	Gregorio Fierli	Person
10249301	De'l sito, fórma, & misúre, déllo Inférno di Dánte	Edition
17589537	Chicerca, truova : dialoghi d'un Romano e d'un Bolognese, professori celebri di medicina, sopra la cura de' vajuoli occorsi in Perugia l'anno MDCCXII›Chi cerca, truova›Dialoghi d'un Romano e d'un Bolognese, professori celebri di medicina, sopra la cura de' vajuoli occorsi in Perugia l'anno 1712	Edition
38036827	Filippo Buonarroti	Person
37514313	Ottavio Rinuccini	Person
20999384	Nella stamperia di S.A.R. per li Tartini, e Franchi	Publisher
15232706	Prouuisione e decreto sopra l'erezione d'vn nuouo monte di pietà›Provvisione e decreto sopra l'erezione d'un nuovo monte di pietà	Edition
15233115	Provvisione e decreto sopra l'erezione d'un nuovo monte di pietà	Edition
