source	target
10094965	94965
10094972	6778
10094982	530
10095000	95000
10095016	9050
10095130	6533
10095131	530
10095183	92100
10095194	18560
10095211	14311
10098576	7754
10098686	98686
10098698	98698
10114481	6613
10115056	14311
10115117	8409
10115142	14311
10115187	31935
10115192	13
10115263	530
10115319	14311
10115372	6613
10115426	9050
10115433	454
10115438	115438
10115466	530
10115486	6778
10115503	90603
10115504	90603
10115568	9003
10115698	3
10115808	530
10115881	115881
10115896	530
10115897	14355
10115898	13646
10115899	115899
10115919	14216
10115920	115920
10115946	115946
10115947	115940
10115974	530
10115978	530
10115986	6
10115999	90603
10116001	14216
10116002	14214
10116025	6687
10116047	8409
10116050	14216
10116052	530
10116053	530
10116054	530
10116055	530
10116056	530
10116057	530
10116058	530
10116062	6533
10116063	530
10116064	530
10116066	530
10116070	530
10116072	6778
10116093	116093
10116141	530
10116142	530
10116147	6533
10116149	116149
10116189	94310
10116193	3
10116210	7427
10116240	530
10116242	6778
10116249	530
10116290	8519
10116295	116295
10116336	32228
10116404	530
10116407	6613
10116423	116423
10116424	116423
10116481	6613
10116491	6783
10116499	116499
10116500	116500
10116507	604
10116523	6687
10116524	286
10116526	90603
10116529	14311
10116545	22535
10116571	2853
10116575	14628
10116578	0
10116592	116592
10116597	454
10116631	3
10116687	116687
10116689	116689
10116726	116726
10116731	530
10116732	530
10116747	9003
10116750	94310
10116758	22535
10116766	3
10116770	116770
10116872	32228
10116945	95199
10116949	14838
10116978	6613
10121927	121927
10136762	136762
10138393	48
10138796	14214
10138799	138799
10138832	138832
10138849	7
10138855	6613
10138899	14311
10138926	13
10138955	138955
10138961	138961
10138974	7
10139022	7
10139027	139027
10139084	90847
10139091	530
10139096	530
10139097	530
10139099	3
10139127	6571
10139165	8409
10139180	139180
10139182	14311
10139229	530
10139233	13991
10139242	139242
10139265	139265
10139268	530
10139286	14566
10139287	139287
10139302	14311
10139358	14311
10139371	28
10139372	530
10139375	530
10139377	530
10139404	139404
10139405	14720
10139409	3
10139414	139414
10139483	530
10139485	530
10139486	530
10139503	16
10139506	26646
10139521	6609
10139526	14311
10139532	14216
10139535	139180
10139547	138883
10139570	9050
10139607	6909
10139615	530
10139618	139618
10139639	14311
10139655	6613
10139690	13
10139699	8409
10139734	139734
10139742	530
10139750	23373
10139751	6613
10139752	139752
10139753	530
10139756	13292
10139757	8028
10139764	3
10139850	530
10139855	530
10139860	3
10139862	530
10139864	530
10139865	6613
10139867	162
10139880	530
10139881	28
10139900	14311
10139903	6778
10139915	139752
10139919	8712
10139930	115438
10140006	98789
10140013	140013
10140022	2853
10140054	530
10140123	6
10153592	6687
10155404	155404
10163343	18447
10163759	7
10163803	530
10163804	6718
10163805	530
10163807	6718
10163809	163809
10163816	163816
10163817	3
10163841	163841
10163891	163891
10163898	163898
10163899	9003
10163905	163905
