id	name	type
10015902	Epistolae atque observationes de chartae vulgaris seu lineae origine›Gerardi Meerman et doctorum virorum ad eum epistolae atque observationes de chartae vulgaris seu lineae origine	Edition
12113652	Aurea salutis catena, continens et explicans omnes ejus causas ac singula Dei beneficia ... ordine enumerans & demonstrans ... jam secundó ... in lucem edita; cui epistola ad Christianum lectorem est praefixa	Edition
21813000	apud Petrum de Hondt	Publisher
17620169	In extremum Pandectarum titulum, qui est De diversis regulis juris antiqui, commentarius›Philippi Matthaei, utriusque juris doctoris et in Academia Marpurgensi Professoris ordinarii, In extremum Pandectarum titulum, qui est De diversis regulis juris antiqui, commentarius›De diversis regulis juris antiqui›Commentarius in regulas juris	Edition
14999185	Disputatio juridica de obligationibus in genere et contractibus qui re perficiuntur	Edition
18145500	Veteris aevi analecta; seu, Vetera monumenta hactenus nondum visa. Quibus continentur scriptores varii qui praecipue historiam universalem, expeditiones in Terram Sanctam, res Germaniae, Gelriae, Hollandiae, Ultrajecti, Frisiae, tam occidentalis, quam orientalis, & Groningae; ut et gesta Equestris ordinis teutonici, dominorum de Brederode, de Culenburch, & de Arckel, memoriae prodiderunt ... Primus in lucem edidit adjectis observationibus suis A. Matthaeus	Edition
13428137	Tractatus de juribus ad Imperatoris Romano-Teutonici Majestatem pertinentibus, sive regalibus : apta methodo concinnatus, ac multarum elegantium quaestionum decisionibus, variarumq́ue legum illustrationibus adornatus	Edition
11855418	Histoire generale des eglises evangeliques des vallees de Piemont; ou Vaudoises. Divisee en deux livres, dont le premier fait voir incontestablement quelle a esté de tous tems tant leur discipline, que sur tout leur doctrine, & de quelle maniere elle l'ont si constamment conservée en une si grande pureté, dés que Dieu les a tirées des tenebres du paganisme jusques à present, sans interruption, & necessité de reformation. Et le second traite generalement de toutes les plus considerables persecution qu'elles ont souffertes ... jusques à l'an 1664	Edition
3206295	Halae Saxonum	Place
24964532	Chez Aug. Mart. Lottin, l'aîné, libraire & imprimeur ...	Publisher
28111375	Na officina de A.P. Galram	Publisher
850499	Marpurgi	Place
25756056	E typographio Francisci Osannae ...	Publisher
37558560	Franz Pfeil	Person
1416518	A Leide	Place
15609654	De criminibus ad lib. XLVII et XLVIII Dig. commentarius›De criminibus : ad lib. XLVII. et XLVIII. Dig.›De criminibus ad libros 47 et 48 Digestorum commentarius	Edition
10297576	De jure naturae et gentium›Le droit de la nature et des gens: ou systeme général des principes les plus importans : de la morale, de la jurisprudence et de la politique	Edition
32780398	Johann Kitzel	Person
28586261	Apud Abrahamum de Hondt, bibliop.	Publisher
