10000000	0	
10000001	1	
10000002	2	
10000003	3	
10000004	4	
10000005	5	
10000006	6	
10000007	7	
10000008	0	
10000009	7	
10000010	10	
10000011	11	
10000012	12	
10000013	13	
10000014	6	
10000015	15	
10000016	16	
10000017	17	
10000018	18	
10000019	19	
10000020	17	
10000021	13	
10000022	22	
10000023	23	
10000024	7	
10000025	7	
10000026	26	
10000027	27	
10000028	28	
10000029	29	
10000030	30	
10000031	3	
10000032	32	
10000033	33	
10000034	34	
10000035	35	
10000036	7	
10000037	3	
10000038	23	
10000039	39	
10000040	16	
10000041	5	
10000042	42	
10000043	3	
10000044	7	
10000045	5	
10000046	3	
10000047	47	
10000048	48	
10000049	49	
10000050	3	
10000051	51	
10000052	23	
10000053	7	
10000054	54	
10000055	55	
10000056	3	
10000057	16	
10000058	3	
10000059	59	
10000060	18	
10000061	3	
10000062	1	
10000063	63	
10000064	0	
10000065	18	
10000066	66	
10000067	5	
10000068	68	
10000069	3	
10000070	3	
10000071	3	
10000072	3	
10000073	73	
10000074	16	
10000075	3	
10000076	6	
10000077	3	
10000078	3	
10000079	79	
10000080	80	
10000081	3	
10000082	3	
10000083	5	
10000084	3	
10000085	7	
10000086	86	
10000087	7	
10000088	29	
10000089	3	
10000090	18	
10000091	91	
10000092	3	
10000093	3	
10000094	3	
10000095	95	
10000096	23	
10000097	3	
10000098	98	
10000099	6
20000000	10000000	
20000001	10000001	
20000002	10000002	
20000003	10000003	
20000004	10000004	
20000005	10000005	
20000006	10000006	
20000007	10000007	
20000000	10000008	
20000009	10000009	
20000010	10000010	
20000011	10000011	
20000012	10000012	
20000013	10000013	
20000014	10000014	
20000015	10000015	
20000016	10000016	
20000017	10000017	
20000018	10000018	
20000019	10000019	
20000020	10000020	
20000021	10000021	
20000022	10000022	
20000023	10000023	
20000024	10000024	
20000025	10000025	
20000026	10000026	
20000027	10000027	
20000028	10000028	
20000029	10000029	
20000030	10000030	
20000031	10000031	
20000032	10000032	
20000033	10000033	
20000034	10000034	
20000035	10000035	
20000036	10000036	
20000037	10000037	
20000023	10000038	
20000039	10000039	
20000016	10000040	
20000041	10000041	
20000042	10000042	
20000043	10000043	
20000044	10000044	
20000005	10000045	
20000046	10000046	
20000047	10000047	
20000048	10000048	
20000049	10000049	
20000050	10000050	
20000051	10000051	
20000023	10000052	
20000053	10000053	
20000054	10000054	
20000055	10000055	
20000056	10000056	
20000057	10000057	
20000058	10000058	
20000059	10000059	
20000060	10000060	
20000061	10000061	
20000001	10000062	
20000063	10000063	
20000064	10000064	
20000065	10000065	
20000066	10000066	
20000067	10000067	
20000068	10000068	
20000069	10000069	
20000070	10000070	
20000071	10000071	
20000072	10000072	
20000073	10000073	
20000074	10000074	
20000075	10000075	
20000076	10000076	
20000077	10000077	
20000078	10000078	
20000079	10000079	
20000080	10000080	
20000081	10000081	
20000082	10000082	
20000083	10000083	
20000084	10000084	
20000085	10000085	
20000086	10000086	
20000087	10000087	
20000029	10000088	
20000089	10000089	
20000090	10000090	
20000091	10000091	
20000092	10000092	
20000093	10000093	
20000061	10000094	
20000095	10000095	
20000096	10000096	
20000043	10000097	
20000098	10000098	
20000099	10000099
30000000	10000000	
30000001	10000001	
30000002	10000002	
30000003	10000003	
30000004	10000004	
30000005	10000005	
30000006	10000006	
30000007	10000007	
30000008	10000008	
30000009	10000009	
30000010	10000010	
30000011	10000011	
30000012	10000012	
30000013	10000013	
30000014	10000014	
30000015	10000015	
30000016	10000016	
30000017	10000017	
30000018	10000018	
30000019	10000019	
30000020	10000020	
30000021	10000021	
30000022	10000022	
30000023	10000023	
30000024	10000024	
30000025	10000025	
30000026	10000026	
30000027	10000027	
30000028	10000028	
30000029	10000029	
30000030	10000030	
30000031	10000031	
30000032	10000032	
30000033	10000033	
30000034	10000034	
30000035	10000035	
30000036	10000036	
30000037	10000037	
30000038	10000038	
30000039	10000039	
30000040	10000040	
30000041	10000041	
30000042	10000042	
30000043	10000043	
30000044	10000044	
30000045	10000045	
30000046	10000046	
30000047	10000047	
30000048	10000048	
30000049	10000049	
30000050	10000050	
30000051	10000051	
30000052	10000052	
30000053	10000053	
30000054	10000054	
30000055	10000055	
30000056	10000056	
30000057	10000057	
30000058	10000058	
30000059	10000059	
30000060	10000060	
30000061	10000061	
30000062	10000062	
30000063	10000063	
30000064	10000064	
30000065	10000065	
30000066	10000066	
30000067	10000067	
30000068	10000068	
30000069	10000069	
30000070	10000070	
30000071	10000071	
30000072	10000072	
30000073	10000073	
30000074	10000074	
30000075	10000075	
30000076	10000076	
30000077	10000077	
30000078	10000078	
30000079	10000079	
30000080	10000080	
30000081	10000081	
30000082	10000082	
30000083	10000083	
30000084	10000084	
30000085	10000085	
30000086	10000086	
30000087	10000087	
30000034	10000088	
30000089	10000089	
30000090	10000090	
30000091	10000091	
30000092	10000092	
30000093	10000093	
30000094	10000094	
30000095	10000095	
30000096	10000096	
30000097	10000097	
30000098	10000098	
30000099	10000099		
