id	pub_id	publisher
100917680	0	Voyageur Press ; Distributed in Canada by Raincoast Books
100929224	0	distribuido en exclusiva por Smile Price Paycom Multimedia
100940199	0	Sandrew Metronome
100940199	0	Universal Pictures (Denmark)
100940199	0	SPHE Nordic
100940199	0	editado internacionalmente por Universal Pictures International Limited distribuido en España por Universal Pictures Iberia
100940199	0	distribuido por Sony Pictures Home Entertainment
100951303	0	Centro de Estudios Monetarios y Financieros
100951303	0	AENOR Ediciones
100951303	0	AENOR
100967297	0	H. Duboc
100967297	0	Hubert Duboc
100967297	0	Editions Bertout
100967297	0	[s. n.]
100982838	0	Die Deutsche Bibliothek
100982838	0	\x98Die\x9c Dt. Bibliothek
100982838	0	Fachsch. für Bibliothekare Erich Weinert, Abt. Fernstudium
100982838	0	Deutsche Nationalbibliothek
