id\country_id	country
100009949	0	PT
100018640	0	US
100028892	0	PT
100038848	0	ES
100048782	0	PT
100058670	0	PT
100068261	0	PT
100077982	0	PT
100087898	0	PT
100097621	0	PT
10010733	0	IT
100115693	0	PT
100125649	0	PT
100135436	0	PT
100144647639509806283	0	US
100145066482366591773	0	PL
100146163	0	PT
100150746898316301294	0	NL
100151352026052601097	0	UA
100155042727672400679	0	FR
100157012	0	SE
100175468	0	IT
10019671	0	US
1002155284861987061945	0	CH
100234175	0	FR
100253440	0	ES
10027079	0	IT
100288515	0	GB
100321218	0	FR
100337377	0	DE
10036153	0	FR
100394479	0	TW
100414242	0	DE
1004155042793572401653	0	FR
10044646	0	FR
100465245	0	DE
100531458	0	GB
100566954	0	DE
100583507	0	DE
10061762	0	US
100651929	0	FR
100673090	0	RU
100693514	0	CN
100713538	0	IN
1007155042709872400731	0	DE
10076313	0	DE
100783412	0	US
1008155042734072400948	0	GB
100903932	0	DE
100917680	0	GB
100929224	0	ES
100940199	0	SE
100951303	0	ES
100967297	0	FR
100982838	0	DE
