10000047	Vater und Sohn, eine oberfränkische dorfgeschichte	None	1944	Edition
10000048	Leitfaden der politischen Ökonomie	None	1943	Edition
10000049	Een hollandsch gezantschap naar China in de zeventiende eeuw (1685-1687)	None	1946	Edition
10000050	La Victoire de Colmar, 20 janvier-9 février, 1945	None	1945	Edition
10000051	Modern Japan, het land der felle contrasten	None	1945	Edition
10000052	Herr Fridolin und sein glück; novelle	None	1944	Edition
10000053	Da kann man gar nichts gegen machen	None	1944	Edition
10000054	Gedichten	None	1945	Edition
10000055	Zwiegesang seliger geister	None	1944	Edition
10000056	Les dames de la halle, 1181-1939	None	1946	Edition
10000057	I campi della morte; romanzo	None	1945	Edition
10000058	La Chine de Chiang Kaï Chek	None	1946	Edition
10000059	Wetterleuchten am Rhein, erzählung aus den revolutionsjahren 1792-1794	None	1943	Edition
10000060	De overblijfselen der romeinsche villa's in België	None	1940	Edition
10000061	La cour de Louis XIV	None	1946	Edition
10000062	Flucht durch die tundra, ein tatsachenbericht aus der Sowjetunion	None	1942	Edition
10000063	L'attualità di Marx, saggi con appendici	None	1943	Edition
10000064	Heer und Staat in der deutschen Geschichte	None	1943	Edition
10000065	Voorzienigheid, leven en lijden	None	1944	Edition
10000066	Bestie ich in Mexiko : wahre erlebnisse	None		Edition
10000067	Zeittafel zur deutschen Kolonialgeschichte	None	1941	Edition
10000068	Der Unsterblichkeits-Konzern, ein Zeitbild	None	1943	Edition
10000069	La vérité sur l'armistice; ephéméride de ce qui s'est réellement passé au moment du désastre	None	1945	Edition
10000070	Mon journal depuis la libération	None	1945	Edition
10000071	Au nom des silencieux	None	1945	Edition
10000072	Rembrandt	None	1946	Edition
10000073	Cassiodorus Senator en zijn Variae; de hoveling, de diplomatieke oorkonden der Variae, de rhetor	None	1945	Edition
10000074	La chiesa e il comunismo	None	1945	Edition
10000075	Jean Jaurès. Conférence donnée le 16 février 1933 au Théâtre des ambassadeurs	None	1944	Edition
10000076	Manuale di filosofia bolscevica	None	1946	Edition
10000077	La science de l'hypnotisme	None	1944	Edition
10000078	Boccace et Naples	None	1944	Edition
10000079	Groningen in vuur en puin	None	1945	Edition
10000080	140.443 B vertelt over Buchenwald	None	1945	Edition
10000081	Un évêque français sous l'occupation	None	1945	Edition
10000082	L'Évangile de Judas (apocryphe)	None	1945	Edition
10000083	Waffenstillstandsparade, novelle	None	1942	Edition
10000084	Grammaire de la langue russe	None	1945	Edition
10000085	Schloss Mumpelsieh; roman	None	1943	Edition
10000086	Rit door Azië	None	1943	Edition
10000087	Weisse Pelerinen	None	1943	Edition
10000088	Kameraden; chromik einer jugend	None	1943	Edition
10000089	La course au ruban bleu, cent ans de lutte dans l'Atlantique 1838-1939	None	1945	Edition
10000090	De blijde boodschap, een levensweg naar het geluk	None	1944	Edition
10000091	Ma genèse	None	1942	Edition
10000092	Le débat de ratification du traité de Versailles à la Chambre des députés et dans la presse en 1919	None	1945	Edition
10000093	Salaires et pouvoir d'achat des ouvriers et des fonctionnaires entre les deux guerres	None	1940	Edition
10000094	Petite grammaire de l'ancien français	None	1941›1963	Edition
10000095	De Belastingwet op de uitzonderlijke winsten	None	1942	Edition
10000096	Harkort, Bahnbrecher der Industrie	None		Edition
10000097	Sens chrétien de l'homme	None	1945	Edition
10000098	Der eucharistische und der mystische leib Christi in ihren beziehungen zueinander, nach der lehre der frühscholastik	None	1941	Edition
10000099	La tua battaglia	None		Edition
20000000	Hanseatische verlagsanstalt	Publisher
20000001	F. Müller	Publisher
20000002	Sansoni	Publisher
20000003	Librairie génerale de droit et de jurisprudence	Publisher
20000004	G. Laterza	Publisher
20000005	Zinnen-verlag	Publisher
20000006	Tosi	Publisher
20000007	C.V. Engelhard	Publisher
20000000	Hanseatische verlagsanstalt	Publisher
20000009	Globus verlag g.m.b.h	Publisher
20000010	H. D. Tjeenk Willink & zoon, n. v.	Publisher
20000011	F. Hirt	Publisher
20000012	D.A. Daamen	Publisher
20000013	Uitgeversmaatschappij Holland	Publisher
20000014	Herder	Publisher
20000015	"Uitgeverij ""In den Toren"""	Publisher
20000016	Fratelli Bocca	Publisher
20000017	"""Le Tre Venezie"""	Publisher
20000018	Standaard-Boekhandel	Publisher
20000019	Sudetendeutsche Verlag F. Kraus	Publisher
