id	type	name	start	end	dateType	nationality
100856485	Personal	Macenauer, Bedřich, 1929-2013	1929-04-08	2013-11-15	lived	CZ
100869558	Personal	Koval, Dušan, 1929-2006	1929	2006	lived	00
100885936	Personal	שושן, אורלי 1959-	1959	0	lived	00
100903932	Personal	Köster, Friedrich, 1791-1878	1791-07-30	1878-11-16	lived	None
1009150323929609972529	Personal	Raczak, Leszek	0	0	lived	PL
100917680	Personal	Gordon, John Ewart	1900	0	flourished	GB
100929224	Personal	Glassbourg, Adah	0	0	lived	00
100940199	Personal	Cervin, Neil	1961	0	lived	00
100951303	Personal	Andrés, Ana Andrés Álvarez	0	0	lived	00
100967297	Personal	Duboc, Hubert	0	0	lived	FR
100982838	Personal	Jacobi, Johannes.	1951-07-25	0	lived	DE
100998000	Personal	Halle, Axel	0	0	lived	00
