id	title_id	title
100175468	0	Silvio Pellico
100175468	0	Tragedia di Antonio Somma
100175468	0	Tragedia lirica di Felice Romani
100175468	0	Vite ardenti nel teatro (1700-1900) da archivii e da memorie...
100175468	0	Voci e volti del passato (1800-1900) da archivi segreti di stato e da altre fonti.
10019671	0	The paradox of power and weakness : Levinas and an alternative paradigm for psychology
10019671	0	Psychotherapy for the other : Levinas and the face-to-face relationship
1002155284861987061945	0	In pursuit of timeless quality
100234175	0	Agni devant la mort Côte d'Ivoire", 'Analyse des origines profondes de la Révolution islamique en Iran', "Analyse des représentations, attitudes et comportements des justiciables à l'égard de la justice civile.", 'Anthropologie de la mort
100234175	0	Antropologija smrti', "[Approche de l'univers religieux]", 'Une aristocratie coloniale : histoire et changements politiques en pays Mawri, Niger
100234175	0	Le besoin de santé : recherches sur la consommation médicale
100234175	0	Beyrouth ou la fascination de la mort, 2013:
100234175	0	Brève esquisse sur la pensée cosmologique du Diola
100234175	0	Cadavre', "Cadavre : de la biologie a l'anthropologie", 'chairs de la mort corps, mort, Afrique
100234175	0	Cinq essais sur la mort africaine
100234175	0	Les clubs et équipes de prévention et les jeunes de la rue.', "Contribution à une sociologie du sous-développement : l'exemple de la R.I.M.", 'Dakar en devenir
100234175	0	Les Diola, 1959.', "Les diola essai d'analyse fonctionnelle sur une population de Basse-Casamance", 'Effets économiques et conséquences sociales de la réduction du temps de travail', "Enfermement et psychose : ces maladies de l'excès", 'Esquisse sur les mouvements de populations et les contacts socio-culturels en pays Diola (Basse-Casamance)', "Essai sur la formation et les structures de l'Italie contemporaine (1860-1960)", 'Et le lièvre vint récits populaires diola
100234175	0	Expérience sociale de la mort : étude des rites funéraires des Bassar du Nord-Togo
100234175	0	Fantasme et formation
100234175	0	Fantasmes au quotidien
100234175	0	Figures et métamorphoses du meurtre', "Généralités sur l'éthnologie négro-africaine", 'The historian in tropical Africa : studies presented and discussed at the fourth international African seminar at the University of Dakar, Senegal, 1961
100234175	0	historien en Afrique tropicale', "idéologies négro-africaines d'aujourd'hui", "Imaginaires et idéologies du tourisme international, l'exemple du Sénégal", "L'Art africain et la société sénégalaise", "L'art funéraire érotique à Madagascar.", "De l'éducation traditionnelle à l'éducation moderne au Sénégal", 'La légitimation du pouvoir dans le système politique français', "L'image de la femme en Iran", "L'Imaginaire de l'âme", 'Le mariage interculturel : modèle, type matrimonial
100234175	0	Marx contre Marx : philosophie et critique sociale
100234175	0	Les migrations soninké vers la France', "Modes de pensée et savoirs psychiatriques : essai d'anthropologie sociale", 'Modes of thought and psychiatric knowledge. An essay in social anthropology.
100234175	0	Mort
100234175	0	Mort africaine idéologie funéraire en Afrique noire
100234175	0	mort en question traces de mort, mort des traces
100234175	0	mort transfigurée recherches sur les expériences vécues aux approches de la mort (NDE)...
100234175	0	Morte e poder
100234175	0	Nouveaux villages, nouvelles banlieue', "Nouvel exemple d'oralité négro-africaine : recits Narang-Djiragon, Diola-Karaban et Dyiwat (Basse-Casamance)", "Paroles de nuit ou l'univers imaginaire des relations familiales chez les Mandenka", 'Politiques de développement en Afrique, au sud du Sahara', "Les politiques d'unité africaine", 'Les populations africaines
100234175	0	Pouvoirs sorciers : enquête sur les pratiques actuelles de sorcellerie
100234175	0	Prospective du développement en Afrique noire un scénario, le Sénégal
100234175	0	Réflexions sans titre au sujet des mythes africains
100234175	0	Réincarnation, immortalité, résurrection
100234175	0	[La Religion et la vie]', "Les religions d'Afrique noire : textes et traditions sacrés", 'Rites de mort pour la paix des vivants
100234175	0	Les "rois" Diola, hier, aujourd\'hui, demain.
100234175	0	Le rôle des villes dans la formation du fait national en Algérie
100234175	0	La roue et la pierre contribution anthropo-historique à la connaissance de la production sociale et économique des Tsiganes', "Les sages dépossédés : univers magiques d'Afrique du Nord", "Santé et maladie chez un groupe d'indiens du bassin de l'Orenoque les Yaruro de l'Apure, essai d'antropologie médicale", 'sens caché des rites mortuaires mourir est-il mourir?', "Le Socialisme et l'Afrique", 'Société africaine et sante mentale
100234175	0	Société, économie et politique en Palestine (XIXe-début du XXe siècle)', "Sociologie de l'édition française : 1945-1978 : problèmes, analyse des discours et des pratiques", 'Sociologie du tragique violence au quotidien
100234175	0	Tableau socio-géographique des mouvements de population affectant le Sénégal
100234175	0	terre africaine et ses religions traditions et changements
100234175	0	Time is running out : a socio-anthropological study of the "uneasiness of death\'.
100234175	0	La troisième phase de la révolution agraire dans la stratégie de développement en Algérie
100234175	0	Trup : od biologii do antropologii
100234175	0	Valeurs et changements sociaux
100234175	0	Vieillesse et mort en Afrique
100234175	0	Vieillir projet de vie essai psycho-sociologique', "Vision blanche, vision indienne : traversée anthropologique d'une culture amazonienne : les Shipibo de l'Ucayali", 'Vivre le deuil : de la désorganisation à une réorganisation
100234175	0	The Wemenu, its dynamism, its control : an ethno-sociological approach of a society of South Benin.
100253440	0	Ālat al-ḥub : riwāya
100253440	0	Ar vienu reizi nepietiek : romāns
100253440	0	Bez zobowiązań
100253440	0	Bir defa yetmez
100253440	0	Dockornas dal
100253440	0	Dolina lutk :  roman
100253440	0	Dolores
100253440	0	Dukkernes dal
100253440	0	Eenmaal is niet genoeg
100253440	0	Einmal ist nicht genug Roman
100253440	0	Enkrat ni zadosti
100253440	0	Every night, Josephine!
100253440	0	fois ne suffit pas
100253440	0	En gaang aer inte nog, 1986:
100253440	0	Geliebte Josephine! Ein fröhl. Pudelbuch
100253440	0	Ikutabi ka utsukushiku moe.', "Jacqueline Susann's Dolores", 'Jednom ko nijednom
100253440	0	Kaerleksmaskinen : [Roman]
100253440	0	Leļļu ieleja : romāns
100253440	0	Liebesmaschine Roman
100253440	0	Life with Jackie, 1983:
100253440	0	Ljubavna mašina
100253440	0	Ljubavni stroj
100253440	0	The love machine
100253440	0	Mana dārgā Džozefīne : [romantisks stāsts]
100253440	0	La máquina del amor
100253440	0	Ningyō no tanima
100253440	0	Nukkude org. [romaan]
100253440	0	Once is not enough
100253440	0	One is not enough
100253440	0	Rabu mashin.
100253440	0	Raz nestačí
100253440	0	Raz to za mało
100253440	0	Stroj na lásku
100253440	0	Superplotʹ, 1992:
100253440	0	Tal der Puppen
100253440	0	Todas las noches, Josephine
100253440	0	Tous les soirs Joséphine; [roman]
100253440	0	Údolí panenek
100253440	0	Údolie bábik
100253440	0	Val naar de top
100253440	0	O vale das bonecas
100253440	0	El valle de las muñecas
100253440	0	La  vallée des poupées
100253440	0	Valley of the dolls
100253440	0	Una vez no basta
100253440	0	Yargo
100253440	0	Долина кукол [роман]
100253440	0	Избранное [перевод с английского]
100253440	0	Машина любви, 1992:
100253440	0	Одного раза недостаточно [Роман]
100253440	0	דולורס
100253440	0	היכן אתה אהובי
100253440	0	ירגו
100253440	0	מכונת האהבה : רומן
100253440	0	وادي الدمى
100253440	0	수선화, 노을에 지다
100253440	0	완전한 순백색의 사랑이야기
100253440	0	인형의 계곡
100253440	0	재뉴어리
100253440	0	화려한 계절
100253440	0	いくたびか美しく燃え.
100253440	0	ラブ・マシーン
100253440	0	事如春夢了無痕
100253440	0	人形의 溪谷
100253440	0	人形の谷間
100253440	0	娃娃谷
10027079	0	Africa delle città
10027079	0	"Esistere in punta di penna". Una raccolta di racconti migranti nell\'ottica dell\'antropologia letteraria.
10027079	0	"Exister à bout de plume". Un recueil de nouvelles migrantes au prisme de l\'anthropologie littéraire', "Filmare le culture : un'introduzione all'antropologia visiva", 'Kubandwa, 1998:', "Kubandwa la possessione spiritica nell'Africa dei Grandi Laghi", 'I Popoli della luna = e people of the moon Ruwenzori 1906-2006
10027079	0	Religious mobility and body language in Kubandwa possession cults
10027079	0	La ricerca sul campo in antropologia oggetti e metodi
10027079	0	Rwenzori : histories and cultures of an African mountain
10027079	0	Sacred natural sites and cultural heritage in East Africa
10027079	0	"To exist through writing". A collection of short stories through the prism of literary anthropology.
10027079	0	Urban Africa
100288515	0	Applying forest science for sustainable management
100288515	0	Badgers, beeches and blisters : getting started in your own wood
100288515	0	Broadleaves in Britain future management and research
100288515	0	Encyclopédia of forest sciences
100288515	0	Farm woodland management
100288515	0	Foreign exchange
